,difot,predicted_difot
236,1,0.556249
237,0,0.6123547
238,0,0.2126323
239,0,0.050405327
240,1,0.20336142
241,1,0.18951765
242,0,0.80116665
243,0,0.0104300305
244,1,0.99424696
245,1,0.9928122
246,1,0.83069444
247,0,0.35725927
248,0,0.9374199
249,1,0.4640847
250,0,0.15377007
251,1,0.85415894
252,0,0.9947877
253,1,0.9358079
254,1,0.7778139
255,1,0.8481002
256,1,0.70206344
257,1,0.97833747
258,1,0.6696015
259,0,0.80492747
260,1,0.894466
261,0,0.8399809
262,0,0.54008204
263,1,0.95466053
264,1,0.95478684
265,0,0.9197847
266,1,0.9841636
267,0,0.016613841
268,1,0.90276295
269,1,0.6611865
270,1,0.9467759
271,0,0.073797114
272,0,0.022130527
273,0,0.31022426
274,1,0.7432856
275,1,0.5896933
276,0,0.13585961
277,1,0.7530891
278,1,0.962924
279,1,0.94227546
280,1,0.8573953
281,1,0.9956814
282,0,0.034491956
283,0,0.7879141
284,0,0.5092455
285,1,0.8499156
286,0,0.91130596
287,1,0.9457562
288,1,0.96285707
289,1,0.9944148
290,1,0.2634778
291,0,0.3538557
292,1,0.7846985
293,1,0.87263864
294,1,0.93796885
295,1,0.8957535
296,1,0.9075645
297,1,0.9938974
298,0,0.8618819
299,0,0.973069
300,1,0.44240242
301,0,0.45102343
302,0,0.002620343
303,1,0.8135735
304,0,0.109331466
305,1,0.9797267
306,0,0.65913147
307,1,0.98665917
308,1,0.41665986
309,1,0.56569076
310,0,0.8765816
311,1,0.69507533
312,1,0.9222962
313,0,0.60550344
314,1,0.7711941
315,0,0.054417815
316,1,0.9854005
317,1,0.91501594
318,1,0.99513876
319,1,0.9449198
320,0,0.5586195
321,1,0.94462276
322,1,0.96712834
323,1,0.61019087
324,1,0.06520714
325,1,0.95268804
326,0,0.010130598
327,0,0.01974758
328,1,0.99971765
329,0,0.52319056
330,0,0.7771279
331,1,0.94533503
332,1,0.9915774
333,1,0.99720734
334,0,0.7763917
335,0,0.76458913
336,0,0.9776568
337,0,0.9723724
338,0,0.24113272
339,1,0.886182
340,1,0.27105197
341,1,0.8503423
342,0,0.73721766
343,0,0.58188975
344,1,0.9315767
345,1,0.9964671
346,0,0.8493025
347,1,0.35066462
348,1,0.68537796
349,1,0.9664442
350,1,0.99280953
351,1,0.9650492
352,1,0.9622731
353,0,0.32693243
354,1,0.8533368
355,0,0.60900044
356,1,0.98008347
