,cycle_time_from_er_confirm,predicted_cycle_time
118,42,73.77954
119,25,41.432457
120,19,35.601738
121,22,32.103672
122,28,32.220943
123,32,34.20864
124,39,51.840515
125,46,35.37327
126,61,37.65576
127,48,39.989437
128,58,23.222105
129,53,63.42526
130,39,28.065819
131,22,27.518406
132,64,35.160954
133,28,25.396898
134,48,33.848198
135,32,40.906216
136,28,32.75873
137,31,23.410572
138,40,24.655628
139,41,38.02316
140,56,27.64864
141,30,32.349403
142,30,45.424404
143,74,64.33859
144,41,41.642426
145,58,49.763866
146,22,36.41345
147,42,39.136677
148,34,36.01838
149,50,42.664482
150,21,35.073723
151,32,45.072334
152,36,35.672894
153,23,22.555387
154,52,39.694935
155,35,31.731308
156,98,114.707214
157,30,49.97845
158,47,32.880497
159,74,48.91461
160,25,37.7272
161,33,43.304295
162,40,36.848396
163,33,38.541973
164,24,37.9562
165,19,22.792208
166,31,40.590046
167,18,24.620665
168,49,43.064186
169,34,32.48723
170,41,33.08531
171,37,45.78974
172,41,31.202414
173,55,37.79651
174,33,39.555286
175,38,29.04609
176,20,37.387005
177,28,39.0475
178,20,23.72448
179,15,24.79278
180,39,57.575596
181,105,114.707214
182,17,28.54595
183,41,49.732136
184,30,38.05898
185,33,29.753092
186,30,35.576977
187,63,56.549877
188,52,40.20054
189,56,34.27759
190,29,34.776146
191,51,47.139683
192,15,30.03846
193,28,46.85111
194,17,37.7712
195,18,30.91511
196,31,35.241165
197,46,45.10403
198,38,45.670433
199,31,32.8761
200,42,42.717754
201,30,34.921688
202,54,47.375237
203,40,73.439575
204,29,47.13229
205,44,38.27492
206,17,26.909216
207,14,29.039679
208,14,24.543352
209,45,36.931328
210,40,43.262398
211,81,35.597656
212,44,45.210354
213,82,81.84048
214,15,38.96352
215,35,33.52674
216,34,42.818268
217,43,48.172863
218,34,28.688015
219,47,37.169567
220,52,69.48077
221,27,38.487965
222,57,41.065712
223,27,43.07086
224,35,37.531395
225,50,42.742577
226,52,51.617664
227,28,20.288189
228,39,41.00424
229,138,114.707214
230,298,114.707214
231,31,42.545513
232,126,114.707214
233,28,37.44501
234,25,42.042095
235,34,30.949184
236,33,37.14753
237,36,37.210506
238,41,29.578651
239,115,114.707214
240,49,32.941727
241,49,52.687347
242,31,30.702982
243,48,27.413921
244,32,33.29664
245,41,21.8135
246,33,28.546236
247,26,26.85988
248,30,39.47566
249,49,24.033297
250,31,46.15059
251,74,74.10731
252,72,75.214806
253,26,39.55281
254,28,32.7807
255,31,17.524082
256,32,26.29772
257,37,36.458504
258,33,42.751743
259,61,66.380424
260,49,54.900368
261,35,39.075638
262,77,45.970345
263,42,34.688564
264,57,49.677773
265,30,35.464424
266,23,27.025272
267,45,40.379223
268,35,34.261898
269,26,34.93817
270,33,24.132368
271,41,34.591076
272,34,36.493343
273,60,63.94648
274,40,29.17481
275,35,31.63617
276,65,50.256374
