,cycle_time_from_er_confirm,predicted_cycle_time
157,56,34.599297
158,35,40.97384
159,78,54.62609
160,35,42.874657
161,30,35.46583
162,30,38.480236
163,25,37.002323
164,36,34.289593
165,23,29.335428
166,23,29.335428
167,29,28.019567
168,34,32.85291
169,24,30.767153
170,27,41.16649
171,67,33.44499
172,98,116.51473
173,25,34.49783
174,28,29.335428
175,25,29.654778
176,52,42.212154
177,33,42.913025
178,24,34.282402
179,51,36.635216
180,34,34.440895
181,28,35.46583
182,39,28.019567
183,20,39.945877
184,31,34.440895
185,21,29.037663
186,19,35.46583
187,49,40.453396
188,52,40.453396
189,41,37.08168
190,38,36.69581
191,35,34.440895
192,29,46.309544
193,29,37.002323
194,11,30.542183
195,63,36.69581
196,66,34.282402
197,28,33.80024
198,48,42.827953
199,32,40.97384
200,38,34.629677
201,21,34.599297
202,49,49.750053
203,41,43.375298
204,105,116.51473
205,40,34.599297
206,38,40.97384
207,27,25.858187
208,29,40.88742
209,63,54.40059
210,25,22.239435
211,56,34.44332
212,40,40.97384
213,29,34.599297
214,39,33.80024
215,24,28.019567
216,15,33.954044
217,18,29.94045
218,38,33.332916
219,36,34.599297
220,63,36.569454
221,46,35.420643
222,51,34.599297
223,38,66.27142
224,34,30.767153
225,34,36.894016
226,44,46.239586
227,75,50.137196
228,41,40.97384
229,55,33.44499
230,44,37.113525
231,16,42.874657
232,58,54.72337
233,29,35.420643
234,29,33.332916
235,14,30.767153
236,12,39.945877
237,37,36.69581
238,42,34.599297
239,46,36.802322
240,29,36.569454
241,81,46.239586
242,35,38.712284
243,25,33.3885
244,29,46.239586
245,36,28.483929
246,78,63.396233
247,28,29.654778
248,58,76.1902
249,42,35.614346
250,27,29.037663
251,47,40.452717
252,29,36.69581
253,27,31.750036
254,27,40.88742
255,18,29.335428
256,39,40.515602
257,52,52.18479
258,25,43.90525
259,60,49.68757
260,34,37.113525
261,35,40.515602
262,24,40.934402
263,31,34.599297
264,138,116.51473
265,34,42.874657
266,23,46.239586
267,45,40.934402
268,21,38.480236
269,44,46.239586
270,34,33.954044
271,39,36.569454
272,30,29.335428
273,49,34.282402
274,49,37.113525
275,34,34.599297
276,64,69.14305
277,48,37.08168
278,57,30.85251
279,45,42.212154
280,35,36.635216
281,29,36.635216
282,31,25.858187
283,12,35.614346
284,65,40.453396
285,32,20.498156
286,37,33.80024
287,34,28.472023
